0, 364670, 364670
1, 382524, 382524
2, 382614, 382614
3, 385477, 385477
4, 381842, 381842
5, 382363, 382363
6, 384839, 384839
7, 383876, 383878
8, 383009, 383010
9, 383631, 383634
10, 385169, 385175
11, 384854, 384869
12, 384077, 384097
13, 383305, 383339
14, 384136, 384191
15, 384635, 384723
16, 383584, 383696
17, 383244, 383463
18, 383281, 383578
19, 384575, 384969
20, 384059, 384692
21, 383603, 384520
22, 383241, 384486
23, 382715, 384466
24, 382157, 384679
25, 379012, 382385
26, 379651, 384212
27, 378994, 385096
28, 375134, 383016
29, 372333, 382763
30, 370809, 384287
31, 367194, 384173
32, 361047, 382498
33, 356561, 382919
34, 352282, 384506
35, 345668, 385388
36, 336645, 383992
37, 327638, 383674
38, 318023, 384165
39, 306570, 382984
40, 294749, 383014
41, 282611, 383090
42, 270403, 383902
43, 256807, 383727
44, 242675, 384089
45, 227710, 383163
46, 213461, 383979
47, 198992, 384469
48, 184655, 383865
49, 171642, 385717
50, 156945, 384367
51, 143977, 383345
52, 130978, 383384
53, 121027, 389852
54, 118682, 434834
55, 125489, 508710
56, 125356, 543565
57, 117088, 553756
58, 105845, 554593
59, 96668, 557693
60, 85866, 555764
61, 78131, 555301
62, 69606, 553111
63, 62601, 554178
64, 56693, 556508
65, 50766, 555014
66, 45645, 554018
67, 41184, 556745
68, 36804, 554456
69, 33182, 554578
70, 30046, 555874
71, 27004, 555281
72, 23893, 555405
73, 21517, 553711
74, 19604, 555660
75, 17400, 553677
76, 15559, 546131
77, 13862, 536848
78, 12347, 527097
79, 10884, 522118
80, 11028, 598020
81, 7961, 501209
82, 7505, 537600
83, 6822, 581228
84, 6221, 632862
85, 5827, 698789
86, 4978, 785380
87, 4421, 911124
88, 5160, 1110196
89, 12134, 1485134
90, 40401, 2302279
91, 117512, 4497668
92, 38936, 1427161
93, 42745, 1614078
94, 44614, 1710138
95, 40793, 1651997
96, 17424, 739347
97, 3160, 136912
98, 3052, 133329
99, 42099, 1990876
